transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00398,2026-01-02T13:10:34Z,446.23,electronics,SG,True,False
txn_0000001,card_00662,2026-01-04T10:21:43Z,425.88,restaurant,US,False,False
txn_0000002,card_00354,2026-01-04T12:56:21Z,42.24,entertainment,IN,True,False
txn_0000003,card_00485,2026-01-11T14:34:44Z,33.98,pharmacy,SG,True,False
txn_0000004,card_00420,2026-01-27T20:17:12Z,43.18,restaurant,DE,False,False
txn_0000005,card_00873,2026-01-09T01:48:43Z,21.6,pharmacy,SG,True,False
txn_0000006,card_00257,2026-01-19T09:53:05Z,507.81,electronics,US,True,False
txn_0000007,card_00595,2026-01-18T10:09:41Z,101.28,utilities,US,True,False
txn_0000008,card_00514,2026-01-28T00:03:54Z,241.35,pharmacy,US,False,False
txn_0000009,card_00880,2026-01-15T17:10:45Z,441.83,electronics,SG,False,False
txn_0000010,card_00262,2026-01-08T05:06:03Z,615.31,fuel,SG,False,False
txn_0000011,card_00809,2026-01-11T10:30:33Z,45.01,electronics,GB,False,False
txn_0000012,card_00317,2026-01-23T01:15:40Z,24.37,grocery,SG,True,False
txn_0000013,card_00062,2026-01-01T23:32:52Z,18.03,entertainment,GB,True,False
txn_0000014,card_00060,2026-01-19T09:28:31Z,105.5,grocery,US,True,False
txn_0000015,card_00198,2026-01-04T03:45:21Z,188.8,entertainment,AE,True,False
txn_0000016,card_00080,2026-01-11T09:53:56Z,24.13,pharmacy,US,False,False
txn_0000017,card_00063,2026-01-05T01:56:42Z,409.4,online_retail,GB,True,False
txn_0000018,card_00122,2026-01-09T06:26:45Z,75.52,online_retail,DE,False,False
txn_0000019,card_00861,2026-01-22T10:07:38Z,27.89,pharmacy,DE,False,False
txn_0000020,card_00458,2026-01-01T02:43:16Z,2698.53,electronics,US,True,False
txn_0000021,card_00387,2026-01-05T01:20:43Z,12.96,online_retail,AE,True,False
txn_0000022,card_00768,2026-01-12T22:44:29Z,15.37,travel,GB,True,False
txn_0000023,card_00875,2026-01-29T03:59:53Z,13.45,fuel,DE,False,False
txn_0000024,card_00494,2026-01-09T18:09:07Z,41.01,restaurant,IN,True,False
txn_0000025,card_00273,2026-01-21T02:49:27Z,51.43,electronics,SG,True,False
txn_0000026,card_00274,2026-01-10T08:24:46Z,736.16,utilities,GB,True,False
txn_0000027,card_00367,2026-01-24T13:11:05Z,65.09,entertainment,US,True,False
txn_0000028,card_00558,2026-01-19T00:24:33Z,109.37,fuel,DE,False,False
txn_0000029,card_00700,2026-01-29T21:04:46Z,95.79,pharmacy,IN,False,False
txn_0000030,card_00448,2026-01-25T01:29:21Z,50.3,entertainment,IN,True,False
txn_0000031,card_00884,2026-01-12T05:56:55Z,153.75,atm_withdrawal,US,False,True
txn_0000032,card_00344,2026-01-23T08:30:32Z,46.1,electronics,GB,True,False
txn_0000033,card_00885,2026-01-20T09:56:47Z,86.6,online_retail,GB,True,False
txn_0000034,card_00500,2026-01-09T07:19:48Z,28.07,pharmacy,DE,True,False
txn_0000035,card_00886,2026-01-07T04:52:51Z,29.24,entertainment,US,True,False
txn_0000036,card_00295,2026-01-19T21:22:53Z,35.3,grocery,DE,True,False
txn_0000037,card_00276,2026-01-20T20:39:29Z,4.22,restaurant,DE,True,False
txn_0000038,card_00178,2026-01-20T11:05:52Z,63.29,travel,IN,False,False
txn_0000039,card_00209,2026-01-06T01:39:12Z,14.48,atm_withdrawal,GB,True,False
txn_0000040,card_00178,2026-01-07T14:07:45Z,302.25,pharmacy,SG,False,False
txn_0000041,card_00095,2026-01-26T04:59:43Z,403.42,grocery,SG,False,False
txn_0000042,card_00673,2026-01-07T14:11:41Z,79.98,fuel,IN,True,False
txn_0000043,card_00518,2026-01-16T23:49:45Z,36.07,grocery,AE,True,False
txn_0000044,card_00621,2026-01-18T08:53:11Z,22.36,travel,IN,False,False
txn_0000045,card_00855,2026-01-11T00:50:47Z,10.34,restaurant,AE,False,False
txn_0000046,card_00511,2026-01-17T07:51:47Z,1256.64,restaurant,GB,False,True
txn_0000047,card_00652,2026-01-09T15:51:27Z,94.78,restaurant,US,True,False
txn_0000048,card_00428,2026-01-03T11:57:45Z,34.89,restaurant,IN,False,False
txn_0000049,card_00629,2026-01-16T19:19:08Z,39.46,online_retail,IN,True,False
