transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00720,2026-01-30T13:46:43Z,10.32,pharmacy,DE,False,False
txn_0000001,card_00681,2026-01-29T11:01:23Z,61.43,atm_withdrawal,DE,True,False
txn_0000002,card_00771,2026-01-16T02:04:48Z,91.44,utilities,AE,False,False
txn_0000003,card_00703,2026-01-20T15:02:53Z,76.07,entertainment,IN,False,False
txn_0000004,card_00150,2026-01-29T22:11:29Z,34.91,entertainment,US,False,False
txn_0000005,card_00520,2026-01-04T05:13:16Z,11.54,restaurant,SG,True,False
txn_0000006,card_00361,2026-01-05T18:36:40Z,679.68,utilities,US,False,False
txn_0000007,card_00418,2026-01-20T17:23:23Z,33.02,entertainment,SG,True,False
txn_0000008,card_00806,2026-01-09T06:08:11Z,9.76,electronics,IN,False,False
txn_0000009,card_00870,2026-01-23T14:15:44Z,58.41,fuel,US,False,False
txn_0000010,card_00158,2026-01-25T12:42:43Z,17.79,fuel,AE,True,False
txn_0000011,card_00505,2026-01-13T05:14:26Z,94.42,online_retail,AE,False,False
txn_0000012,card_00060,2026-01-10T04:12:22Z,23.55,travel,IN,True,False
txn_0000013,card_00116,2026-01-05T03:40:58Z,39.2,pharmacy,GB,True,False
txn_0000014,card_00522,2026-01-06T04:30:40Z,14.56,restaurant,US,True,False
txn_0000015,card_00583,2026-01-10T21:17:11Z,36.26,grocery,SG,True,False
txn_0000016,card_00833,2026-01-17T20:39:33Z,138.61,fuel,IN,True,False
txn_0000017,card_00575,2026-01-29T17:27:22Z,26.15,atm_withdrawal,GB,False,False
txn_0000018,card_00384,2026-01-02T16:21:13Z,144.0,grocery,AE,True,False
txn_0000019,card_00237,2026-01-15T08:21:46Z,77.24,travel,SG,True,False
txn_0000020,card_00356,2026-01-13T13:39:27Z,172.24,atm_withdrawal,DE,True,False
txn_0000021,card_00364,2026-01-17T08:29:20Z,278.87,online_retail,IN,True,False
txn_0000022,card_00296,2026-01-04T22:45:09Z,65.66,atm_withdrawal,US,False,False
txn_0000023,card_00373,2026-01-05T05:37:26Z,14.13,utilities,DE,True,False
txn_0000024,card_00119,2026-01-05T00:53:45Z,29.56,entertainment,SG,True,False
txn_0000025,card_00874,2026-01-13T00:58:09Z,564.25,pharmacy,IN,False,True
txn_0000026,card_00628,2026-01-06T07:48:55Z,188.55,utilities,DE,True,True
txn_0000027,card_00680,2026-01-10T09:01:48Z,32.53,grocery,SG,False,False
txn_0000028,card_00252,2026-01-26T14:39:49Z,44.49,online_retail,GB,True,False
txn_0000029,card_00827,2026-01-04T18:46:10Z,28.64,travel,GB,True,False
txn_0000030,card_00468,2026-01-08T05:17:08Z,41.73,travel,US,True,False
txn_0000031,card_00163,2026-01-13T15:10:00Z,140.68,online_retail,IN,False,False
